Category,Synonyms
women,"여성, 여자, 여, 숙녀, 여인, 여인네, 여자, 부드러운, 공감, 동정, 아름다운"
men,"남자, 남성, 남, 용기, 영웅, 용기, 기사도, 용맹, 대담, 대담한, 남성, 남성, 남자다운, 남자, 강력한, 튼튼한, 강한, 강력한, 근육, 달아서, 활발한, 충실한, 사나이, 정다운, 정성, 따뜻한, 친절한, 용기 있는, 용감한, 대담, 충실한, 결정, 용맹한, 단호한, 의지가 굳고 강한, 용감한, 기사, 남성, 왕성한, 신사,, 젊은이,남성, 청소년, 동료, 신사, 사나이"
Accords_citrus,"탑, 레몬, 자몽, 유자, 만다린, 상큼한, 상큼, 청량, 청량한, 시원, 시원한, 산뜻한, 신선한, 달콤한, 맑은, 가벼운, 활기찬, 쌉싸름한, 귤, 상큼, 감귤, 시큼, 시큼달큼, ,새콤, 새콤달콤, 노랑, 오랜지, 싱그러움, 생기, 베르가뭇, 라임, 과일"
Accords_gourmand,"카라멜, 캐러멜, 캬라멜, 아몬드, 꿀, 마시멜로, 달콤, 달콤한,부드러운, 고소한, 고소,풍부한, 따뜻한, 묵직한, 묵직,유혹적인, 매혹적인, 유혹, 달달한, 달달,녹진한, 스파이시한, 풍미있는, 바닐라, 초콜릿, 과자"
Accords_oriental,"앰버, 머스크, 바닐라, 패츌리, 샌달우드, 따뜻한, 따뜻함, 이국적인, 관능적인, 풍부한, 매혹적인, 신비로운, 신비,깊은, 강렬한, 부드러운, 달콤쌉싸름, 어두운, 섹시, 묘함, 마성의 여성, 동양, 향료, 스파이시, 자극적, 개성적"
Accords_musk,"화이트머스크, 앰버, 샌달우드, 패츌리, 따뜻한, 따뜻, 부드러운, 포근한, 사향, 사향노루, 묵직함, 살냄새, 무거운향, 겨울, 섹시, 몽환적인, 베이스 노트"
Accords_fruity,"과일, 달콤한 향, 달콤, 귀여움, 관능적인, 과즙, 달콤한 과일, 복숭아, 무화과, 체리, 쥬시함, 가벼움, 산뜻함, 탑노트 "
Accords_woody,"샌달우드, 시더우드, 패츌리, 따뜻한, 따뜻, 건조한, 흙, 흙내나는, 깊은, 자연, 자연적인, 거친, 고급스러운, 부드러운, 고급, 묵직한, 풍부한, 숲, 숲내음, 나무소나무, 삼나무, 편백나무, 차분함, 나무, 흙, 따듯함, 중후함, 안정, 관능적, 풍부함"
Accords_spicy,"앰버, 머스크, 강렬한, 강렬, 매콤한, 매콤, 자극적인, 이국, 깊은, 톡쏘는, 매혹적인, 매혹, 매운, 쌉싸름한, 알싸함, 충격적인, 강하고 매운, 강함, 매운, 페퍼, 생강, 진저, 후추, 따뜻함, 충격적인"
Accords_floral,"로맨틱, 낭만, 장미, 목련, 우아, 부드러운, 달콤, 신선한, 낭만적인, 여성스러운, 상쾌한, 상쾌, 풍부, 섬세한, 가벼운, 화사한, 고급, 포근한꽃향, 꽃, 우아한, 고급스러움, 여성, 봄, 가을"
Accords_aquatic,"바다,비, 시원한, 바람, 시원한바람, 호수, 물방울, 상쾌한, 상쾌, 시원, 청량, 맑은, 신선한, 신선, 부드러운, 물, 비, 바다, 오션, 시원함, 상쾌함, 중성적인, 남성, 여성, 오션"
Accords_smoky,"불, 나무, 패츌리, 앰버, 따뜻한, 깊은, 건조한, 매혹적인, 흙내나는, 흙, 우디, 타는듯한, 동물적인, 자욱하다, 연기가 나다, 흐릿하다, 매캐하다, 그을리다, 자옥하다, 자우룩하다, 진하다, 짙다, 두껍다, 깊다, 아득하다, 옅다, 흐리다, 희미하다, 까마득하다, 가늘다, 맵싸하다, 매케하다, 싸하다, 맵다, 그슬리다, 훈작하다, 그슬리다"
Accords_leather,"고급, 고급스러움, 남성, 강인, 스모키, 우드, 머스크, 시더우드, 강렬한, 묵직한, 세련된, 남성적인, 깊은, 부드러운, 따뜻한, 풍부한, 스모키한, 단단한, 거친, 가죽, 레더, 나무, 담배, 포근한, 무거움, 중후함, 고급"
Accords_aromatic,"상쾌함, 신선함, 플로럴, 로즈마리, 상쾌한, 상쾌, 신선한, 신선, 강렬한, 강렬, 풍부한, 풍부, 깨끗한, 초록, 스파이시, 맑은, 허브향, 시원한, 건조한, 우디한, 톡 쏘는, 남성, 스파이시, 허브, 라벤더, 민트, 로즈마리"
love,"달콤한, 로맨틱한, 따뜻한, 사랑스러운, 부드러운, 감미로운, 애틋한, 열정적인, 그리워하다, 사모하다, 아끼다, 연모하다, 연애하다, 열애하다, 귀애하다, 귀여워하다, 경애하다, 좋아하다"
